Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,0.5,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0.00500595,5.12181e-05,0,563.15,-0.00999465,-3.50906e-06,-1.41061e-05,0.00999466,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,1,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0.00500595,5.2347e-05,0,563.15,-0.0099938,-5.83359e-06,-2.16334e-05,0.00999382,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,1.5,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0.00500595,5.33044e-05,0,563.15,-0.00999339,-6.22975e-06,-2.58924e-05,0.00999343,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,2,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0.00500595,5.41442e-05,0,563.15,-0.00999314,-4.69369e-06,-2.54765e-05,0.00999317,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,2.5,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0.00500595,5.48969e-05,0,563.15,-0.00999301,-2.3942e-06,-1.84594e-05,0.00999303,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,3,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0.00500595,5.55948e-05,0,563.15,-0.00999307,-6.12269e-07,-4.34501e-06,0.00999307,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,3.5,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0.00500595,5.62695e-05,0,563.15,-0.00999328,-1.51786e-07,1.49963e-05,0.00999329,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,4,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0.00500595,5.69434e-05,0,563.15,-0.00999361,-1.21803e-06,3.58815e-05,0.00999367,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,4.5,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0.00500595,5.76221e-05,0,563.15,-0.00999398,-3.51817e-06,5.42881e-05,0.00999413,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,5,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0.00500595,5.82951e-05,0,563.15,-0.00999434,-6.53099e-06,6.71712e-05,0.00999457,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
