Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,1,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0.00500595,0.0013187,0,563.15,-0.0499581,3.80239e-05,0.00040399,0.0499598,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,2,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0.00500595,0.00143518,0,563.15,-0.049958,-4.16098e-05,0.000324618,0.0499591,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,3,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0.00500595,0.00147698,0,563.15,-0.0499454,5.27672e-05,-0.000598444,0.049949,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,4,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0.00500595,0.00148517,0,563.15,-0.0499428,9.17321e-05,-0.00108308,0.0499546,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,5,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0.00500595,0.00148748,0,563.15,-0.0499423,9.2407e-05,-0.0012823,0.0499589,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,6,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0.00500595,0.00148743,0,563.15,-0.0499427,8.9237e-05,-0.00134855,0.049961,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,7,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0.00500595,0.00148638,0,563.15,-0.0499434,8.71028e-05,-0.00135649,0.0499619,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,8,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0.00500595,0.00148496,0,563.15,-0.0499443,8.67648e-05,-0.00134084,0.0499624,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,9,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0.00500595,0.00148337,0,563.15,-0.0499452,8.72424e-05,-0.00131468,0.0499626,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,10,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0.00500595,0.00148174,0,563.15,-0.0499462,8.81192e-05,-0.00128262,0.0499627,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
