Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,0.5,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0.00500595,0.00125147,0,302.8,-0.049996,2.77386e-06,-7.88772e-05,0.0499961,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,1,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0.00500595,0.00126373,0,302.8,-0.0499841,-4.26257e-06,0.000790819,0.0499904,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,1.5,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0.00500595,0.00131193,0,302.8,-0.0499792,-3.42801e-05,0.00126124,0.0499951,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,2,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0.00500595,0.00137647,0,302.8,-0.0499793,-5.47831e-05,0.000949664,0.0499883,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,2.5,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0.00500595,0.00142524,0,302.8,-0.0499732,-1.71114e-05,0.000310658,0.0499742,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,3,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0.00500595,0.00145587,0,302.8,-0.0499671,2.73387e-05,-0.00029273,0.049968,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,3.5,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0.00500595,0.00147666,0,302.8,-0.0499629,4.54745e-05,-0.000744659,0.0499685,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,4,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0.00500595,0.00149318,0,302.8,-0.0499598,4.78755e-05,-0.00105103,0.0499709,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,4.5,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0.00500595,0.00150733,0,302.8,-0.049957,4.6425e-05,-0.00133558,0.0499749,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,5,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0.00500595,0.00152038,0,302.8,-0.049955,4.42259e-05,-0.00156357,0.0499795,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,10,1,5.5,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0.00500595,0.00153288,0,302.8,-0.0499531,4.04472e-05,-0.00176754,0.0499844,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,11,1,6,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0.00500595,0.00154513,0,302.8,-0.0499512,4.12345e-05,-0.0019583,0.0499896,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,12,1,6.5,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0.00500595,0.00155746,0,302.8,-0.0499496,3.0529e-05,-0.00212367,0.0499947,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,13,1,7,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0.00500595,0.00157004,0,302.8,-0.0499481,2.91251e-05,-0.00227819,0.0500001,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
