Block Name,Row ID,N,Time,avg(Area),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(vtkOriginalCellIds),max(Area),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(vtkOriginalCellIds),med(Area),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(vtkOriginalCellIds),min(Area),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(vtkOriginalCellIds),q1(Area),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(vtkOriginalCellIds),q3(Area),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(vtkOriginalCellIds),std(Area),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,0.5,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0.00500595,302.8,-0.0999789,1.03298e-05,0.000814881,0.0999822,0,0,0,0,0,0,0,0,1
stats,1,1,1,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0.00500595,302.8,-0.09996,-0.000108723,0.00163075,0.0999734,0,0,0,0,0,0,0,0,1
stats,2,1,1.5,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0.00500595,302.8,-0.0999393,4.60462e-05,-0.000462377,0.0999403,0,0,0,0,0,0,0,0,1
stats,3,1,2,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0.00500595,302.8,-0.0999286,0.000157654,-0.00191456,0.0999471,0,0,0,0,0,0,0,0,1
stats,4,1,2.5,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0.00500595,302.8,-0.0999233,0.000119033,-0.00265814,0.0999587,0,0,0,0,0,0,0,0,1
stats,5,1,3,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0.00500595,302.8,-0.0999179,0.000113498,-0.0031955,0.099969,0,0,0,0,0,0,0,0,1
stats,6,1,3.5,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0.00500595,302.8,-0.0999137,0.000116236,-0.00361759,0.0999792,0,0,0,0,0,0,0,0,1
stats,7,1,4,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0.00500595,302.8,-0.0999107,8.96557e-05,-0.00396529,0.0999894,0,0,0,0,0,0,0,0,1
stats,8,1,4.5,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0.00500595,302.8,-0.0999069,5.25444e-05,-0.00426492,0.0999979,0,0,0,0,0,0,0,0,1
stats,9,1,5,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0.00500595,302.8,-0.0999004,5.96472e-05,-0.00443631,0.0999989,0,0,0,0,0,0,0,0,1
