Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,0.5,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0.00500595,0.00125158,0,302.8,-0.0499953,-3.11536e-06,-6.11311e-05,0.0499953,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,1,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0.00500595,0.00126299,0,302.8,-0.0499838,4.41694e-06,0.000582989,0.0499872,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,1.5,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0.00500595,0.00130711,0,302.8,-0.0499788,-2.85785e-05,0.000945247,0.0499877,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,2,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0.00500595,0.00136524,0,302.8,-0.0499779,-5.64963e-05,0.000674592,0.0499825,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,2.5,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0.00500595,0.00140662,0,302.8,-0.0499717,-1.77428e-05,0.000135462,0.0499718,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,3,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0.00500595,0.00143,0,302.8,-0.0499671,3.66992e-05,-0.000379107,0.0499685,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,3.5,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0.00500595,0.00144364,0,302.8,-0.0499641,6.45147e-05,-0.000769439,0.04997,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,4,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0.00500595,0.0014529,0,302.8,-0.0499626,6.97814e-05,-0.00104812,0.0499736,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,4.5,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0.00500595,0.00145974,0,302.8,-0.0499608,6.58138e-05,-0.00123652,0.0499761,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,5,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0.00500595,0.00146495,0,302.8,-0.0499592,6.27995e-05,-0.00140312,0.0499789,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
