Row ID,Time,avg(T),avg(U (Magnitude)),max(T),max(U (Magnitude)),med(T),med(U (Magnitude)),min(T),min(U (Magnitude)),q1(T),q1(U (Magnitude)),q3(T),q3(U (Magnitude))
0,0.5,302.8,0.0499953,302.8,0.0499953,302.8,0.0499953,302.8,0.0499953,302.8,0.0499953,302.8,0.0499953
1,1,302.8,0.0499872,302.8,0.0499872,302.8,0.0499872,302.8,0.0499872,302.8,0.0499872,302.8,0.0499872
2,1.5,302.8,0.0499877,302.8,0.0499877,302.8,0.0499877,302.8,0.0499877,302.8,0.0499877,302.8,0.0499877
3,2,302.8,0.0499825,302.8,0.0499825,302.8,0.0499825,302.8,0.0499825,302.8,0.0499825,302.8,0.0499825
4,2.5,302.8,0.0499718,302.8,0.0499718,302.8,0.0499718,302.8,0.0499718,302.8,0.0499718,302.8,0.0499718
5,3,302.8,0.0499685,302.8,0.0499685,302.8,0.0499685,302.8,0.0499685,302.8,0.0499685,302.8,0.0499685
6,3.5,302.8,0.04997,302.8,0.04997,302.8,0.04997,302.8,0.04997,302.8,0.04997,302.8,0.04997
7,4,302.8,0.0499736,302.8,0.0499736,302.8,0.0499736,302.8,0.0499736,302.8,0.0499736,302.8,0.0499736
8,4.5,302.8,0.0499761,302.8,0.0499761,302.8,0.0499761,302.8,0.0499761,302.8,0.0499761,302.8,0.0499761
9,5,302.8,0.0499789,302.8,0.0499789,302.8,0.0499789,302.8,0.0499789,302.8,0.0499789,302.8,0.0499789
10,5.5,302.8,0.0499813,302.8,0.0499813,302.8,0.0499813,302.8,0.0499813,302.8,0.0499813,302.8,0.0499813
11,6,302.8,0.0499834,302.8,0.0499834,302.8,0.0499834,302.8,0.0499834,302.8,0.0499834,302.8,0.0499834
12,6.5,302.8,0.0499854,302.8,0.0499854,302.8,0.0499854,302.8,0.0499854,302.8,0.0499854,302.8,0.0499854
13,7,302.8,0.0499871,302.8,0.0499871,302.8,0.0499871,302.8,0.0499871,302.8,0.0499871,302.8,0.0499871
14,7.5,302.8,0.0499888,302.8,0.0499888,302.8,0.0499888,302.8,0.0499888,302.8,0.0499888,302.8,0.0499888
15,8,302.8,0.0499904,302.8,0.0499904,302.8,0.0499904,302.8,0.0499904,302.8,0.0499904,302.8,0.0499904
16,8.5,302.8,0.0499918,302.8,0.0499918,302.8,0.0499918,302.8,0.0499918,302.8,0.0499918,302.8,0.0499918
17,9,302.8,0.0499931,302.8,0.0499931,302.8,0.0499931,302.8,0.0499931,302.8,0.0499931,302.8,0.0499931
