Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,1,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0.00500595,0.000471319,0,563.15,-0.0299766,-4.71503e-07,-9.33826e-06,0.0299766,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,2,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0.00500595,0.000496382,0,563.15,-0.0299758,6.58436e-07,0.000352342,0.0299779,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,3,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0.00500595,0.000523617,0,563.15,-0.0299758,-3.67961e-05,0.0002085,0.0299765,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,4,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0.00500595,0.00053517,0,563.15,-0.0299714,-1.03934e-05,-0.000130906,0.0299716,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,5,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0.00500595,0.00053812,0,563.15,-0.02997,1.91017e-05,-0.000374636,0.0299723,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,6,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0.00500595,0.000539095,0,563.15,-0.0299702,3.00048e-05,-0.000510451,0.0299745,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,7,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0.00500595,0.000539511,0,563.15,-0.0299706,3.28013e-05,-0.000581106,0.0299763,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,8,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0.00500595,0.000539645,0,563.15,-0.0299713,3.30349e-05,-0.000616139,0.0299776,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,9,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0.00500595,0.000539616,0,563.15,-0.0299711,3.26385e-05,-0.000631739,0.0299778,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,10,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0.00500595,0.000539539,0,563.15,-0.0299718,3.22119e-05,-0.000636958,0.0299786,100000,100000,1905.56,0,0,0,0,0,0,0,0,0,0,0,0,0,1
