Block Name,Row ID,N,Time,avg(Area),avg(K),avg(Qdot),avg(T),avg(U (0)),avg(U (1)),avg(U (2)),avg(U (Magnitude)),avg(p),avg(p_rgh),avg(rho),avg(vtkOriginalCellIds),max(Area),max(K),max(Qdot),max(T),max(U (0)),max(U (1)),max(U (2)),max(U (Magnitude)),max(p),max(p_rgh),max(rho),max(vtkOriginalCellIds),med(Area),med(K),med(Qdot),med(T),med(U (0)),med(U (1)),med(U (2)),med(U (Magnitude)),med(p),med(p_rgh),med(rho),med(vtkOriginalCellIds),min(Area),min(K),min(Qdot),min(T),min(U (0)),min(U (1)),min(U (2)),min(U (Magnitude)),min(p),min(p_rgh),min(rho),min(vtkOriginalCellIds),q1(Area),q1(K),q1(Qdot),q1(T),q1(U (0)),q1(U (1)),q1(U (2)),q1(U (Magnitude)),q1(p),q1(p_rgh),q1(rho),q1(vtkOriginalCellIds),q3(Area),q3(K),q3(Qdot),q3(T),q3(U (0)),q3(U (1)),q3(U (2)),q3(U (Magnitude)),q3(p),q3(p_rgh),q3(rho),q3(vtkOriginalCellIds),std(Area),std(K),std(Qdot),std(T),std(U (0)),std(U (1)),std(U (2)),std(U (Magnitude)),std(p),std(p_rgh),std(rho),std(vtkOriginalCellIds),vtkValidPointMask
stats,0,1,0.5,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0.00500595,0.000450517,0,302.8,-0.0299978,2.31748e-06,-0.000110353,0.029998,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,1,1,1,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0.00500595,0.000451795,0,302.8,-0.0299951,4.94601e-07,6.06582e-05,0.0299951,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,2,1,1.5,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0.00500595,0.000455379,0,302.8,-0.0299912,-2.66186e-06,0.000412646,0.029994,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,3,1,2,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0.00500595,0.000464086,0,302.8,-0.0299889,-1.06921e-05,0.000685965,0.0299967,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,4,1,2.5,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0.00500595,0.000477684,0,302.8,-0.0299894,-2.54395e-05,0.000749,0.0299987,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,5,1,3,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0.00500595,0.000492532,0,302.8,-0.0299896,-3.48385e-05,0.000635588,0.0299963,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,6,1,3.5,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0.00500595,0.000505397,0,302.8,-0.0299881,-2.93378e-05,0.000422311,0.0299911,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,7,1,4,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0.00500595,0.000515155,0,302.8,-0.0299856,-1.10943e-05,0.000173769,0.0299862,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,8,1,4.5,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0.00500595,0.000522198,0,302.8,-0.0299831,9.08501e-06,-6.32214e-05,0.0299832,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
stats,9,1,5,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0.00500595,0.00052744,0,302.8,-0.0299817,2.35425e-05,-0.000264542,0.0299828,100000,100000,995.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
